3.252504564401115204e+02	3.065253884046987878e+02	100
3.120223052809259343e+02	2.436916703985669983e+02	601
2.745425436632332321e+02	1.257406558958283540e+02	502
1.323399187019876990e+02	2.018025250611458432e+02	6-11
4.304989837748462378e+01	1.599133797237245744e+02	5-11
3.197387267904508690e+02	4.277834406972338570e+02	30-1
3.032035378414688012e+02	5.016406180026870061e+02	20-1
1.940712907781872900e+02	4.476256674360122929e+02	7-1-2
4.068240552550896609e+02	5.314039581108546599e+02	41-3
3.980052878156325278e+02	4.851054290537049383e+02	51-3
3.935959040959040749e+02	4.002247924489304296e+02	61-2
3.946982500258361597e+02	3.506192256019842830e+02	61-1
4.740671569809500170e+02	4.123505976781839308e+02	21-1
4.376897412931895133e+02	3.847919494298805034e+02	31-1
5.115469185986426055e+02	3.958154087292018630e+02	43-2
5.402079127768781746e+02	3.880989872196769284e+02	22-1
5.468219883564710244e+02	4.895148127734335048e+02	11-1
6.504425057700918842e+02	5.148687691618727058e+02	24-3
4.751695029108821018e+02	5.754977953081402120e+02	21-2
6.328049708911776179e+02	4.299881325570980835e+02	12-1
6.096557063626028139e+02	4.432162837162837263e+02	35-3
7.661888284129661315e+02	3.726661442006270022e+02	15-1
6.228838575217885136e+02	3.010136587550381364e+02	120
5.391055668469460898e+02	3.032183506149023628e+02	110
5.699712528850458284e+02	3.528239174618485094e+02	34-1
5.082398808088462374e+02	2.569198215577526412e+02	431
5.391055668469460898e+02	2.458963622584312816e+02	331
5.721759447449101117e+02	2.547151296978883579e+02	341
6.294979331013812498e+02	2.348729029591099220e+02	241
6.614659650694131869e+02	2.414869785387027150e+02	251
5.887111336938921795e+02	2.271564814495849305e+02	231
5.787900203245029616e+02	1.885743739019601435e+02	342
5.457196424265388259e+02	1.532993041441318383e+02	443
5.523337180061316758e+02	6.511162974956084781e+01	111
6.482378139102274872e+02	1.488899204244032717e+02	121
4.454061628027144479e+02	2.051095628509422113e+02	522
4.861929622102035182e+02	1.621180715835888577e+02	533
4.597366598918322325e+02	8.715854834820356700e+01	423
3.638325639877363074e+02	7.723743497881434905e+01	513
3.991076337455647263e+02	2.514080919080919330e+02	511
4.123357849047503123e+02	2.370775948189741484e+02	411
4.542249302421715811e+02	3.473121878121878581e+02	52-1
4.961140755795927362e+02	3.660520686210341523e+02	32-1
8.003615522408624656e+02	2.888878535257845783e+02	160
2.403698198353370117e+02	4.526940301078241191e+01	201
4.035170174652932928e+02	3.043206965448345045e+02	510
5.953252092734850294e+02	5.358133418305832265e+02	34-4
4.398944331530537966e+02	4.817983912639085702e+02	31-2
6.857175755279201894e+02	3.495168796720521414e+02	26-1
5.424126046367424578e+02	2.128259843604671460e+02	221
3.241481105101794356e+02	3.561309552516449344e+02	70-1
