F Amp.mittel Amp.std Amp.var Phi-mittel Phi-std Phi-var T-mittel T-std T-var
128.000	78.253	10.171	103.441	0.651	0.369	0.136	25.306	40.870	1670.363
128.000	78.204	9.983	99.656	0.730	0.347	0.121	25.306	40.870	1670.363
128.000	77.910	8.480	71.906	0.578	0.364	0.133	25.306	40.870	1670.363
129.000	80.481	8.387	70.336	0.618	0.302	0.091	25.306	40.870	1670.363
129.000	81.567	6.648	44.193	0.728	0.318	0.101	25.306	40.870	1670.363
129.000	82.450	7.688	59.109	0.634	0.285	0.081	25.306	40.870	1670.363
129.000	83.344	6.440	41.476	0.757	0.309	0.096	25.306	40.870	1670.363
129.000	82.274	6.436	41.419	0.771	0.289	0.084	25.306	40.870	1670.363
130.000	84.173	4.090	16.725	0.909	0.277	0.077	25.306	40.870	1670.363
130.000	84.829	5.368	28.817	0.718	0.281	0.079	25.306	40.870	1670.363
130.000	86.528	4.964	24.641	0.734	0.286	0.082	25.306	40.870	1670.363
130.000	87.708	5.421	29.385	0.744	0.282	0.079	25.306	40.870	1670.363
130.000	89.486	4.559	20.788	0.850	0.267	0.071	25.306	40.870	1670.363
131.000	90.422	4.440	19.716	0.784	0.274	0.075	25.306	40.870	1670.363
131.000	92.143	3.450	11.901	0.764	0.223	0.050	25.306	40.870	1670.363
131.000	91.469	3.456	11.942	0.794	0.249	0.062	25.306	40.870	1670.363
131.000	91.283	3.009	9.054	0.697	0.233	0.054	25.306	40.870	1670.363
131.000	94.017	2.919	8.522	0.828	0.223	0.050	25.306	40.870	1670.363
132.000	94.943	2.588	6.697	0.784	0.218	0.048	25.306	40.870	1670.363
132.000	97.096	2.560	6.556	0.779	0.229	0.053	25.306	40.870	1670.363
132.000	97.238	3.062	9.374	0.725	0.191	0.036	25.306	40.870	1670.363
132.000	98.259	2.107	4.440	0.811	0.203	0.041	25.306	40.870	1670.363
132.000	100.022	2.339	5.469	0.755	0.211	0.045	25.306	40.870	1670.363
133.000	102.105	2.289	5.241	0.772	0.193	0.037	25.306	40.870	1670.363
133.000	102.303	2.275	5.176	0.828	0.166	0.028	25.306	40.870	1670.363
133.000	104.970	2.691	7.240	0.837	0.167	0.028	25.306	40.870	1670.363
133.000	107.502	1.622	2.632	0.784	0.176	0.031	25.306	40.870	1670.363
133.000	107.088	1.650	2.724	0.827	0.152	0.023	25.306	40.870	1670.363
134.000	108.368	1.844	3.402	0.775	0.136	0.019	25.306	40.870	1670.363
134.000	110.122	1.637	2.678	0.770	0.128	0.016	25.306	40.870	1670.363
134.000	111.403	1.767	3.123	0.807	0.110	0.012	25.306	40.870	1670.363
134.000	112.826	1.788	3.197	0.761	0.093	0.009	25.306	40.870	1670.363
134.000	114.633	2.078	4.317	0.784	0.097	0.009	25.306	40.870	1670.363
135.000	116.988	1.722	2.966	0.775	0.094	0.009	25.306	40.870	1670.363
135.000	117.296	1.611	2.594	0.772	0.068	0.005	25.306	40.870	1670.363
135.000	119.310	1.576	2.484	0.781	0.059	0.003	25.306	40.870	1670.363
135.000	120.273	1.844	3.400	0.776	0.032	0.001	25.306	40.870	1670.363
135.000	123.319	1.224	1.499	0.774	0.048	0.002	25.306	40.870	1670.363
