File 	Datum 	StartZeit 	SZA  	AMF  	ChiSquare 	Streulicht_midday_log	Streulicht_midday_log Error 	Ring Streulicht_midday	Ring Streulicht_midday Error 	result of convolution O3	result of convolution O3 Error 	result of convolution NO2	result of convolution NO2 Error 	result of convolution O4	result of convolution O4 Error 	
62067	4/23/2019 	12:31:42	39.2		0.00036795	-1.004	0.00093446	3.9917e+23	7.1024e+23	6.5395e+17	3.5629e+16	9.674e+14	5.9533e+15	1.9478e+43	1.1695e+43	
62068	4/23/2019 	12:32:35	39.3		0.00040272	-1.0062	0.00093293	-8.4668e+23	7.4118e+23	-5.6097e+17	3.5185e+16	7.6416e+14	6.4475e+15	-8.7068e+43	1.2226e+43	
62069	4/23/2019 	12:33:27	39.4		0.00034347	-1.0062	0.00086151	-1.4302e+24	6.8496e+23	-5.7423e+17	3.2407e+16	-3.1671e+14	5.9532e+15	-8.2743e+43	1.128e+43	
62070	4/23/2019 	12:34:20	39.4		0.00045567	-1.0056	0.0010026	-3.8734e+23	7.7914e+23	-6.1603e+17	3.9172e+16	1.2729e+16	6.4515e+15	2.7127e+43	5.7478e+42	
62071	4/23/2019 	12:35:12	39.5		0.00035932	-1.0016	0.00092474	9.1593e+23	7.0099e+23	6.8e+17	3.5156e+16	-4.6075e+14	5.8818e+15	2.9293e+43	1.1419e+43	
62072	4/23/2019 	12:36:05	39.6		0.00037268	-1.0022	0.00094069	5.405e+23	7.1493e+23	6.6123e+17	3.5874e+16	3.8315e+15	5.9934e+15	3.5644e+43	1.1719e+43	
62073	4/23/2019 	12:36:57	39.6		0.00041403	-1.0059	0.00095544	-1.844e+24	7.4276e+23	-6.9534e+17	3.7316e+16	1.457e+16	6.1496e+15	2.6667e+43	5.4439e+42	
62074	4/23/2019 	12:37:50	39.7		0.00044985	-1.0008	0.0010315	-2.9529e+23	7.8646e+23	7.4704e+17	3.9475e+16	1.7444e+15	6.5856e+15	4.4121e+43	1.3012e+43	
62075	4/23/2019 	12:38:42	39.8		0.00047173	-1.0048	0.0010191	-1.9997e+24	7.9155e+23	-7.4419e+17	3.9888e+16	1.74e+16	6.5612e+15	2.3545e+43	5.7969e+42	
62076	4/23/2019 	12:39:35	39.8		0.00043076	-1.0041	0.00097671	-9.3047e+23	7.5359e+23	-7.506e+17	3.8681e+16	1.4933e+16	6.2606e+15	2.0327e+43	5.9056e+42	
62077	4/23/2019 	12:40:27	39.9		0.00057271	-1.0016	0.001169	-1.8029e+24	8.8575e+23	7.5644e+17	4.4635e+16	-2.6042e+15	7.4351e+15	5.3669e+43	1.4294e+43	
62078	4/23/2019 	12:41:20	40		0.00051896	-1.0051	0.0010712	-4.2919e+24	8.2754e+23	-8.9693e+17	4.2327e+16	1.3672e+16	6.8735e+15	2.1189e+43	6.3843e+42	
62079	4/23/2019 	12:42:12	40		0.00058539	-1.0053	0.0011385	-4.4046e+24	8.796e+23	-9.1463e+17	4.4893e+16	1.4598e+16	7.3024e+15	2.2558e+43	6.8271e+42	
62080	4/23/2019 	12:43:05	40.1		0.0012711	-1.0025	0.001684	-1.5038e+24	1.3258e+24	-1.34e+17	6.9761e+16	-2.4915e+16	1.0517e+16	1.8482e+42	2.3745e+43	
62081	4/23/2019 	12:43:57	40.2		0.0013008	-1.0059	0.0017759	-3.3931e+24	1.3398e+24	-2.6164e+17	4.5279e+16	3.3266e+16	1.1513e+16	2.4462e+43	1.1253e+43	
62082	4/23/2019 	12:44:50	40.3		0.0015117	-1.0007	0.0018042	-2.0642e+24	1.4302e+24	-2.3813e+17	7.6301e+16	-3.0316e+16	1.1404e+16	-2.3198e+42	2.5388e+43	
62083	4/23/2019 	12:45:42	40.3		0.00048615	-1.0049	0.0010353	-5.0949e+24	8.0443e+23	-9.6116e+17	4.0442e+16	2.1658e+16	6.6626e+15	2.7412e+43	5.8847e+42	
62084	4/23/2019 	12:46:35	40.4		0.00051447	-1.005	0.0010652	-4.0903e+24	8.2747e+23	-9.6806e+17	4.1605e+16	1.7118e+16	6.8536e+15	2.0901e+43	6.0775e+42	
62085	4/23/2019 	12:47:27	40.5		0.0005765	-1.005	0.0011173	-5.679e+24	8.8744e+23	-1.0139e+18	4.2065e+16	-1.6169e+16	7.6899e+15	-7.6192e+43	1.4612e+43	
62086	4/23/2019 	12:48:20	40.6		0.0015618	-1.0023	0.0018481	-2.5286e+24	1.4729e+24	-2.3784e+17	7.887e+16	-3.2653e+16	1.1613e+16	-9.811e+42	2.6142e+43	
62087	4/23/2019 	12:49:22	40.7		0.00056899	-1.0047	0.0011226	-3.2393e+24	8.6816e+23	-8.8886e+17	4.4144e+16	1.2733e+16	7.2028e+15	2.1918e+43	6.734e+42	
62088	4/23/2019 	12:50:19	40.7		0.00052436	-1.0049	0.0010759	-2.8305e+24	8.3418e+23	-8.8202e+17	4.2163e+16	1.3857e+16	6.9167e+15	2.3056e+43	6.2602e+42	
62089	4/23/2019 	12:51:16	40.8		0.00061867	-1.0045	0.0011682	-2.5453e+24	9.0821e+23	-9.0999e+17	4.5639e+16	1.4477e+16	7.5182e+15	2.1479e+43	6.6901e+42	
62090	4/23/2019 	12:52:09	40.9		0.00057045	-1.0056	0.0011229	-2.4467e+24	8.7086e+23	-9.5104e+17	4.3977e+16	1.3223e+16	7.2164e+15	2.2377e+43	6.551e+42	
62091	4/23/2019 	12:53:03	41		0.00054389	-1.0043	0.0010958	-2.3618e+24	8.4963e+23	-9.8366e+17	4.2932e+16	1.5709e+16	7.0448e+15	2.0987e+43	6.3906e+42	
62092	4/23/2019 	12:53:56	41.1		0.00059067	-1.005	0.0011409	-2.622e+24	8.8587e+23	-9.5564e+17	4.4672e+16	1.4377e+16	7.3423e+15	2.1385e+43	6.5333e+42	
62093	4/23/2019 	12:54:50	41.1		0.00054327	-1.0054	0.0010959	-2.0409e+24	8.5004e+23	-9.7523e+17	4.2857e+16	1.5891e+16	7.0426e+15	1.9903e+43	6.3845e+42	
62094	4/23/2019 	12:55:44	41.2		0.00059627	-1.0048	0.0011473	-2.7195e+24	8.895e+23	-1.0306e+18	4.5018e+16	1.2488e+16	7.3758e+15	2.0145e+43	6.6894e+42	
62095	4/23/2019 	12:56:37	41.3		0.00062174	-1.0048	0.0011737	-2.7199e+24	9.0738e+23	-1.0052e+18	4.622e+16	1.4443e+16	7.5285e+15	1.8984e+43	7.0484e+42	
62096	4/23/2019 	12:57:31	41.4		0.00055673	-1.0049	0.0011083	-2.3649e+24	8.5917e+23	-1.0239e+18	4.3491e+16	1.3142e+16	7.1261e+15	2.0071e+43	6.4513e+42	
62097	4/23/2019 	12:58:24	41.5		0.0015905	-1.0002	0.0018573	2.0421e+24	1.4818e+24	-1.8706e+17	8.0306e+16	-3.6515e+16	1.169e+16	-1.0426e+42	2.6229e+43	
62098	4/23/2019 	12:59:18	41.6		0.0016522	-1.002	0.0018955	-2.3434e+23	1.5145e+24	-2.0403e+17	8.2441e+16	-3.6105e+16	1.1912e+16	-1.0731e+42	2.6804e+43	
62099	4/23/2019 	13:00:11	41.7		0.0018237	-1.0018	0.0019858	2.8648e+22	1.5769e+24	-1.9286e+17	8.4324e+16	-3.7507e+16	1.2528e+16	-3.3898e+42	2.7973e+43	
62100	4/23/2019 	13:01:05	41.7		0.0016679	-1.0004	0.0019076	1.4129e+24	1.5122e+24	-1.9184e+17	8.021e+16	-3.5201e+16	1.2004e+16	9.606e+42	2.6944e+43	
62101	4/23/2019 	13:01:58	41.8		0.0023208	-1.0063	0.0022449	-3.7254e+24	1.788e+24	-9.7787e+17	8.3091e+16	7.6834e+14	1.5395e+16	-1.5878e+44	2.9424e+43	
62102	4/23/2019 	13:03:02	41.9		10.724	-0.94695	0.15916	1.9395e+26	1.2119e+26	3.1277e+19	6.0386e+18	-2.4221e+17	1.0137e+18	-3.5322e+45	2.0418e+45	
62103	4/23/2019 	13:04:04	42		0.76928	-0.39955	0.041265	-7.0671e+25	3.2332e+25	-8.8265e+18	1.6043e+18	7.529e+17	2.7091e+17	-1.803e+45	5.4477e+44	
62104	4/23/2019 	13:17:08	43.4		0.0012294	-1.0036	0.0016303	-9.0792e+24	1.2972e+24	-1.61e+18	6.1065e+16	-3.5991e+16	1.1254e+16	-6.2904e+43	2.135e+43	
62105	4/23/2019 	13:18:06	43.5		0.008353	-1.0185	0.0042816	-6.3088e+24	3.3543e+24	-8.182e+17	1.3976e+17	-7.6926e+16	3.3606e+16	-1.1662e+45	2.8025e+44	
62106	4/23/2019 	13:19:13	43.6		0.001475	-1.0036	0.0017881	-1.1012e+25	1.4225e+24	-1.7011e+18	6.6691e+16	-3.179e+16	1.2295e+16	-7.1896e+43	2.3424e+43	
62107	4/23/2019 	13:20:15	43.7		0.0014642	-1.0032	0.0017798	-1.1808e+25	1.4164e+24	-1.7208e+18	6.661e+16	-3.6789e+16	1.2274e+16	-6.1895e+43	2.3313e+43	
62108	4/23/2019 	13:21:17	43.9		0.0013875	-1.0033	0.0017299	-1.2379e+25	1.3771e+24	-1.8571e+18	6.5139e+16	-4.2024e+16	1.1991e+16	-7.2465e+43	2.2685e+43	
62109	4/23/2019 	13:22:19	44		0.0012768	-1.0029	0.0016633	-1.2228e+25	1.3233e+24	-1.8265e+18	6.2084e+16	-3.7022e+16	1.1441e+16	-7.0017e+43	2.1773e+43	
62110	4/23/2019 	13:23:20	44.1		0.0017254	-1.0035	0.0019328	-1.3052e+25	1.5379e+24	-1.837e+18	7.2287e+16	-4.0483e+16	1.3312e+16	-5.4073e+43	2.5312e+43	
62111	4/23/2019 	13:24:22	44.2		0.0013144	-1.0027	0.0016806	-1.0632e+25	1.3392e+24	-1.8447e+18	6.3733e+16	-4.2338e+16	1.1743e+16	-5.4632e+43	2.2143e+43	
62112	4/23/2019 	13:25:24	44.3		0.0017154	-1.0021	0.0019293	-1.1073e+25	1.5341e+24	-1.8743e+18	7.1774e+16	-4.6898e+16	1.324e+16	-6.1198e+43	2.5238e+43	
62113	4/23/2019 	13:26:22	44.4		0.0015334	-1.0022	0.0018208	-1.0324e+25	1.449e+24	-1.9109e+18	6.8276e+16	-4.5728e+16	1.2574e+16	-6.2845e+43	2.388e+43	
62114	4/23/2019 	13:27:21	44.5		0.0014169	-1.0025	0.0017437	-1.0639e+25	1.3899e+24	-1.938e+18	6.6296e+16	-4.5159e+16	1.2224e+16	-7.2845e+43	2.3012e+43	
62115	4/23/2019 	13:28:23	44.7		0.3867	-0.31133	0.03056	2.1441e+26	2.3061e+25	-5.7386e+18	1.1359e+18	1.8887e+17	1.9108e+17	1.8606e+45	3.2207e+44	
62116	4/23/2019 	13:35:03	45.5		0.0026664	-0.9987	0.0023989	-1.5103e+25	1.9108e+24	-2.2956e+18	8.9975e+16	-5.865e+16	1.6608e+16	-4.1014e+43	3.1494e+43	
62117	4/23/2019 	13:36:13	45.6		0.0031265	-0.99878	0.0026023	-1.5437e+25	2.0727e+24	-2.2933e+18	9.6919e+16	-5.566e+16	1.7914e+16	-3.3717e+43	3.4121e+43	
62118	4/23/2019 	13:37:23	45.7		0.0028664	-0.99847	0.0024865	-1.5659e+25	1.9813e+24	-2.4659e+18	9.3259e+16	-5.8547e+16	1.7233e+16	-4.3473e+43	3.2616e+43	
62119	4/23/2019 	13:38:33	45.9		0.003042	-0.99791	0.0025689	-1.5114e+25	2.0448e+24	-2.3643e+18	9.5301e+16	-5.7246e+16	1.7631e+16	-2.2327e+43	3.3549e+43	
62120	4/23/2019 	13:39:42	46		0.0027464	-0.99716	0.0024361	-1.4989e+25	1.9403e+24	-2.4627e+18	9.1149e+16	-6.397e+16	1.6827e+16	-3.6812e+43	3.1941e+43	
62121	4/23/2019 	13:40:51	46.2		0.0030974	-0.99617	0.0025823	-1.6106e+25	2.0593e+24	-2.5371e+18	9.6912e+16	-6.8101e+16	1.7968e+16	-3.5821e+43	3.3862e+43	
62122	4/23/2019 	13:42:00	46.3		0.0030935	-0.99686	0.002585	-1.5595e+25	2.0595e+24	-2.563e+18	9.68e+16	-6.7042e+16	1.7875e+16	-3.7718e+43	3.3893e+43	
62123	4/23/2019 	13:43:09	46.4		0.0073357	-0.9992	0.0040539	-1.2462e+25	3.2193e+24	-2.3439e+18	1.4611e+17	-4.2596e+16	2.7039e+16	-3.9176e+43	5.2825e+43	
62124	4/23/2019 	13:44:17	46.6		0.0028546	-0.99906	0.0024831	-1.524e+25	1.9783e+24	-2.5395e+18	9.2947e+16	-5.8479e+16	1.7166e+16	-4.6265e+43	3.2603e+43	
62125	4/23/2019 	13:45:27	46.7		0.0030489	-0.99934	0.0025657	-1.362e+25	2.0438e+24	-2.5338e+18	9.6107e+16	-6.3092e+16	1.7754e+16	-3.1307e+43	3.3631e+43	
62126	4/23/2019 	13:46:32	46.9		0.0031429	-0.9997	0.0026034	-1.3975e+25	2.0742e+24	-2.5898e+18	9.7643e+16	-6.1317e+16	1.8055e+16	-4.2741e+43	3.4145e+43	
62127	4/23/2019 	13:47:38	47		0.0030422	-1.0011	0.0025649	-1.4203e+25	2.0433e+24	-2.5891e+18	9.5767e+16	-5.2687e+16	1.7703e+16	-5.0368e+43	3.3681e+43	
62128	4/23/2019 	13:48:44	47.2		0.0027424	-1.0009	0.0024319	-1.3048e+25	1.9373e+24	-2.5998e+18	9.1265e+16	-5.9182e+16	1.6861e+16	-6.3044e+43	3.184e+43	
62129	4/23/2019 	13:49:49	47.3		0.002816	-1.0019	0.0024639	-1.3291e+25	1.9623e+24	-2.6245e+18	9.27e+16	-6.0099e+16	1.7097e+16	-7.0352e+43	3.2331e+43	
62130	4/23/2019 	13:50:53	47.4		0.0028796	-1.0031	0.0024965	-1.3436e+25	1.9882e+24	-2.5587e+18	9.3222e+16	-5.6066e+16	1.72e+16	-7.7643e+43	3.2723e+43	
62131	4/23/2019 	13:51:57	47.6		0.0028257	-1.0029	0.0024694	-1.2926e+25	1.9667e+24	-2.6222e+18	9.2477e+16	-5.4136e+16	1.7103e+16	-8.4195e+43	3.2367e+43	
62132	4/23/2019 	13:53:01	47.7		0.0028733	-1.0031	0.0024875	-1.3576e+25	1.9822e+24	-2.706e+18	9.3694e+16	-6.0474e+16	1.7303e+16	-6.4983e+43	3.2699e+43	
62133	4/23/2019 	13:54:04	47.8		0.0028912	-1.0037	0.0024989	-1.4411e+25	1.9906e+24	-2.8101e+18	9.3668e+16	-5.6714e+16	1.7283e+16	-8.6659e+43	3.2799e+43	
62134	4/23/2019 	13:55:09	48		0.0032873	-1.0025	0.0026667	-1.3341e+25	2.1236e+24	-2.7975e+18	9.959e+16	-5.9074e+16	1.8387e+16	-7.9786e+43	3.4956e+43	
62135	4/23/2019 	13:56:11	48.1		0.0089643	-1.0012	0.0045715	-9.6855e+23	3.4641e+24	-1.4212e+18	1.3239e+17	4.2018e+16	3.0142e+16	1.6482e+42	4.5578e+43	
62136	4/23/2019 	13:57:14	48.3		0.0092383	-1.0021	0.0046302	-1.0196e+24	3.523e+24	-1.3526e+18	1.3502e+17	4.9114e+16	3.0614e+16	5.5292e+42	4.8161e+43	
62137	4/23/2019 	13:58:17	48.4		0.011293	-0.99413	0.005337	-1.8781e+24	4.0197e+24	-5.6999e+17	1.6474e+17	-1.6414e+17	3.4136e+16	-6.2784e+43	3.5268e+43	
62138	4/23/2019 	13:59:20	48.5		0.010796	-1.0002	0.0050869	-2.3707e+24	3.7665e+24	-1.1999e+18	1.4516e+17	-8.1338e+16	3.3615e+16	-2.0216e+43	3.3586e+43	
62139	4/23/2019 	14:00:23	48.7		0.010296	-1.0006	0.0048905	-5.9864e+23	3.7238e+24	-1.4816e+18	1.4303e+17	4.9715e+16	3.2336e+16	7.4132e+42	5.133e+43	
62140	4/23/2019 	14:01:25	48.8		0.010287	-1.0017	0.0048917	-1.7801e+24	3.7253e+24	-1.4962e+18	1.4355e+17	5.1091e+16	3.2331e+16	7.0314e+42	5.1429e+43	
62141	4/23/2019 	14:02:28	49		0.011072	-1.0011	0.0050965	-1.4787e+24	3.8445e+24	-1.5456e+18	1.4605e+17	2.7826e+16	3.3496e+16	-4.1079e+42	4.8302e+43	
62142	4/23/2019 	14:03:31	49.1		0.011054	-0.99973	0.0050619	-6.7068e+23	3.8636e+24	-1.5641e+18	1.4873e+17	5.821e+16	3.3521e+16	-2.9492e+42	5.4313e+43	
62143	4/23/2019 	14:04:34	49.2		0.012097	-1.0017	0.0053117	-2.4781e+23	3.982e+24	-1.5696e+18	1.5013e+17	8.0495e+16	3.4869e+16	2.473e+43	4.5122e+43	
62144	4/23/2019 	14:05:37	49.4		0.012256	-1.003	0.0053474	-3.801e+24	4.0462e+24	-1.6414e+18	1.5435e+17	4.4832e+16	3.5233e+16	7.239e+42	5.2463e+43	
62145	4/23/2019 	14:06:51	49.5		0.013191	-1.0023	0.0055679	-3.4389e+24	4.1866e+24	-1.6695e+18	1.5914e+17	2.0053e+16	3.6549e+16	2.0324e+42	5.0779e+43	
62146	4/23/2019 	14:08:05	49.7		0.013621	-1.0019	0.0056452	-2.4424e+24	4.2569e+24	-1.7248e+18	1.6214e+17	3.9267e+16	3.713e+16	8.2241e+42	5.3316e+43	
62147	4/23/2019 	14:09:19	49.9		0.014499	-1.0053	0.005863	-2.9399e+24	4.3541e+24	-1.4918e+18	1.5921e+17	9.2765e+16	3.8545e+16	3.7836e+43	3.8877e+43	
62148	4/23/2019 	14:10:33	50		0.014507	-1.0044	0.0058464	-2.5393e+24	4.3502e+24	-1.5743e+18	1.6133e+17	9.5346e+16	3.827e+16	3.3095e+43	4.2169e+43	
62149	4/23/2019 	14:11:46	50.2		0.013188	-1.0067	0.0053677	-6.7494e+24	4.2153e+24	-1.1561e+18	9.308e+16	7.9604e+16	2.9216e+16	8.0923e+43	2.7211e+43	
62150	4/23/2019 	14:12:59	50.4		0.014779	-1.0134	0.00599	-1.3823e+25	4.6821e+24	-1.458e+18	1.371e+17	1.0157e+16	3.9183e+16	4.5834e+43	2.9121e+43	
62151	4/23/2019 	14:14:12	50.6		0.014063	-1.0071	0.005581	-7.9631e+24	4.3737e+24	-1.1749e+18	8.9483e+16	8.4041e+16	3.0566e+16	8.6637e+43	2.8312e+43	
62152	4/23/2019 	14:15:25	50.7		0.013906	-1.007	0.0055029	-6.9082e+24	4.3244e+24	-1.2152e+18	9.6077e+16	8.306e+16	2.9955e+16	8.6038e+43	2.7922e+43	
62153	4/23/2019 	14:16:38	50.9		0.018479	-0.99018	0.0063172	1.7779e+24	5.0243e+24	-7.1309e+17	2.7029e+17	-1.7866e+17	3.986e+16	1.8783e+44	8.8928e+43	
62154	4/23/2019 	14:17:51	51.1		0.021335	-0.99884	0.0070441	-3.5289e+24	5.4122e+24	6.3517e+17	2.9493e+17	7.206e+16	4.1707e+16	4.0769e+44	1.0233e+44	
62155	4/23/2019 	14:19:04	51.2		0.021187	-0.99835	0.0072882	-1.3902e+24	5.4208e+24	7.3179e+17	3.0061e+17	3.3676e+16	4.316e+16	4.7915e+44	1.1754e+44	
62156	4/23/2019 	14:20:17	51.4		0.022925	-0.99516	0.007595	3.468e+23	5.6942e+24	-5.7696e+17	3.3152e+17	-2.7106e+16	4.361e+16	4.5214e+44	1.1645e+44	
62157	4/23/2019 	14:21:30	51.6		0.023557	-0.99381	0.0073063	7.4045e+23	5.7991e+24	-9.2371e+17	3.1183e+17	-4.0475e+16	4.3544e+16	4.0893e+44	1.0998e+44	
62158	4/23/2019 	14:22:43	51.7		0.024041	-0.99638	0.0078336	-5.7592e+23	5.862e+24	-5.2408e+17	3.4034e+17	-3.9624e+16	4.3798e+16	4.4782e+44	1.2238e+44	
62159	4/23/2019 	14:23:57	51.9		0.025808	-0.99796	0.0080428	-2.5514e+24	6.039e+24	-7.991e+17	3.5202e+17	-3.2756e+16	4.6359e+16	5.0642e+44	1.2397e+44	
62160	4/23/2019 	14:25:22	52.1		0.027477	-0.99811	0.0079569	-4.416e+24	6.1306e+24	5.1663e+17	3.3483e+17	5.9667e+16	4.9231e+16	5.9194e+44	1.1904e+44	
62161	4/23/2019 	14:26:47	52.3		0.028832	-0.9949	0.0080102	-1.2755e+24	6.3604e+24	-1.0083e+18	3.4431e+17	-4.3836e+16	4.7988e+16	4.6115e+44	1.2011e+44	
62162	4/23/2019 	14:28:13	52.5		0.029892	-0.99395	0.0080674	-6.7785e+23	6.4068e+24	-8.9813e+17	3.498e+17	-4.4177e+16	4.8783e+16	4.9224e+44	1.2068e+44	
62163	4/23/2019 	14:29:38	52.7		0.030381	-0.98616	0.0080968	4.8024e+23	6.4264e+24	-9.9022e+17	3.4321e+17	-2.1911e+17	5.1123e+16	2.8906e+44	1.1397e+44	
62164	4/23/2019 	14:31:03	52.9		0.032659	-0.99265	0.0084656	-1.4408e+24	6.7179e+24	-8.1978e+17	3.6554e+17	-4.5632e+16	5.1006e+16	5.2562e+44	1.2685e+44	
62165	4/23/2019 	14:32:28	53.1		0.031411	-0.98406	0.0082304	1.5388e+24	6.5421e+24	-9.0134e+17	3.512e+17	-2.2989e+17	5.1968e+16	3.2214e+44	1.1606e+44	
62166	4/23/2019 	14:33:54	53.4		0.03342	-0.9832	0.0084986	1.3497e+24	6.7535e+24	-9.2389e+17	3.6148e+17	-2.3637e+17	5.3619e+16	3.0654e+44	1.1977e+44	
62167	4/23/2019 	14:35:19	53.6		0.034534	-0.98197	0.0086229	1.4098e+24	6.837e+24	-9.4903e+17	3.6493e+17	-2.4288e+17	5.4502e+16	3.3627e+44	1.2139e+44	
62168	4/23/2019 	14:36:44	53.8		0.035689	-0.98116	0.008769	1.5511e+24	6.9609e+24	-9.6527e+17	3.7236e+17	-2.5063e+17	5.5401e+16	3.4959e+44	1.233e+44	
62169	4/23/2019 	14:38:10	54		0.036692	-0.98005	0.0089062	3.6122e+24	7.0484e+24	-1.1629e+18	3.7348e+17	-2.4031e+17	5.6205e+16	3.3193e+44	1.253e+44	
62170	4/23/2019 	14:39:35	54.2		0.015904	-0.99451	0.005918	-1.5417e+25	4.6103e+24	-5.5196e+18	2.3061e+17	8.9584e+16	3.8132e+16	-5.5697e+42	3.3278e+43	
62171	4/23/2019 	14:41:15	54.4		0.0167	-0.99152	0.006071	-1.2224e+25	4.7151e+24	-5.5355e+18	2.3738e+17	8.5079e+16	3.9055e+16	-1.3599e+43	3.4925e+43	
62172	4/23/2019 	14:42:55	54.7		0.017517	-0.99223	0.0062154	-1.3566e+25	4.8345e+24	-5.7754e+18	2.4248e+17	8.7835e+16	4.0011e+16	-1.2903e+43	3.533e+43	
62173	4/23/2019 	14:44:34	54.9		0.018841	-0.99124	0.0064484	-1.2545e+25	5.0086e+24	-5.7971e+18	2.5213e+17	8.408e+16	4.1485e+16	-1.874e+43	3.7082e+43	
62174	4/23/2019 	14:46:14	55.2		0.018617	-0.99156	0.0064079	-1.2354e+25	4.9809e+24	-5.978e+18	2.5006e+17	9.2827e+16	4.1242e+16	-1.4707e+43	3.6621e+43	
62175	4/23/2019 	14:47:53	55.4		0.037825	-0.9841	0.0092792	-4.7294e+24	7.2086e+24	3.933e+18	3.6185e+17	8.426e+16	6.0292e+16	9.3261e+44	1.2284e+44	
62176	4/23/2019 	14:49:33	55.7		0.039785	-0.98183	0.0095506	-5.5096e+24	7.4182e+24	4.0688e+18	3.7335e+17	5.4256e+16	6.1962e+16	9.1429e+44	1.2595e+44	
62177	4/23/2019 	14:51:13	55.9		0.043324	-0.99703	0.0099129	-5.9792e+24	7.6934e+24	-3.1317e+18	3.0111e+17	2.1872e+17	6.6462e+16	1.0133e+44	1.1802e+44	
62178	4/23/2019 	14:52:52	56.2		0.045137	-0.98226	0.010151	-5.5693e+24	7.8866e+24	4.2128e+18	3.9662e+17	7.9382e+16	6.5924e+16	9.959e+44	1.3411e+44	
62179	4/23/2019 	14:54:32	56.4		0.045805	-0.98155	0.010233	-5.1306e+24	7.9508e+24	4.2453e+18	3.9969e+17	6.584e+16	6.6439e+16	9.917e+44	1.351e+44	
62180	4/23/2019 	14:56:11	56.7		0.0477	-0.9804	0.010405	-2.2786e+24	8.0836e+24	4.1132e+18	4.0556e+17	9.7624e+16	6.7659e+16	1.0532e+45	1.3777e+44	
62181	4/23/2019 	14:57:51	56.9		0.050362	-0.97979	0.010721	-3.4473e+24	8.3298e+24	4.3319e+18	4.185e+17	7.5319e+16	6.9636e+16	1.0601e+45	1.4203e+44	
62182	4/23/2019 	14:59:31	57.2		0.0524	-0.97896	0.010905	-2.6407e+24	8.4734e+24	4.2364e+18	4.249e+17	9.8168e+16	7.092e+16	1.1038e+45	1.4409e+44	
62183	4/23/2019 	15:01:10	57.4		0.055881	-0.97976	0.011258	-3.2686e+24	8.7468e+24	4.2383e+18	4.3838e+17	1.0427e+17	7.3225e+16	1.1178e+45	1.4867e+44	
62184	4/23/2019 	15:02:50	57.7		0.058661	-0.97811	0.011583	-3.387e+24	9.001e+24	4.6033e+18	4.5257e+17	7.1335e+16	7.5206e+16	1.1362e+45	1.5299e+44	
62185	4/23/2019 	15:04:29	57.9		0.061257	-0.9784	0.011822	-3.5907e+24	9.1875e+24	4.6108e+18	4.6219e+17	8.8129e+16	7.6799e+16	1.1811e+45	1.5654e+44	
62186	4/23/2019 	15:06:09	58.2		0.072375	-0.97734	0.012713	3.4925e+24	9.8618e+24	3.3458e+18	4.9306e+17	1.8801e+17	8.3158e+16	1.2314e+45	1.6698e+44	
62187	4/23/2019 	15:07:49	58.5		0.067886	-0.9763	0.012405	-8.9162e+23	9.6388e+24	4.5281e+18	4.8372e+17	1.1248e+17	8.0707e+16	1.2527e+45	1.6403e+44	
62188	4/23/2019 	15:09:28	58.7		0.070232	-0.97434	0.012666	-2.1338e+24	9.8442e+24	4.8691e+18	4.9483e+17	7.2702e+16	8.2277e+16	1.2371e+45	1.6718e+44	
62189	4/23/2019 	15:11:08	59		0.074607	-0.97574	0.013026	-1.6137e+24	1.0125e+25	4.8055e+18	5.0866e+17	9.7438e+16	8.47e+16	1.3017e+45	1.7233e+44	
62190	4/23/2019 	15:12:47	59.2		0.076309	-0.97532	0.013145	9.225e+23	1.0214e+25	4.7142e+18	5.1265e+17	1.2473e+17	8.5554e+16	1.3488e+45	1.7406e+44	
62191	4/23/2019 	15:14:27	59.5		0.08018	-0.9742	0.013511	-1.0368e+24	1.05e+25	5.0044e+18	5.2807e+17	9.9809e+16	8.7824e+16	1.3604e+45	1.7861e+44	
62192	4/23/2019 	15:16:06	59.7		0.084259	-0.97385	0.013836	1.2849e+23	1.0753e+25	4.9193e+18	5.3997e+17	1.133e+17	8.998e+16	1.4124e+45	1.8301e+44	
62193	4/23/2019 	15:17:46	60		0.088593	-0.97269	0.014156	2.6692e+24	1.0996e+25	4.8548e+18	5.5142e+17	1.3515e+17	9.2144e+16	1.453e+45	1.8708e+44	
62194	4/23/2019 	15:19:26	60.3		0.097132	-0.97252	0.014784	4.4849e+24	1.1477e+25	4.395e+18	5.7537e+17	1.6774e+17	9.6364e+16	1.5219e+45	1.9563e+44	
62195	4/23/2019 	15:21:06	60.5		0.102	-0.97043	0.015144	5.4369e+24	1.1755e+25	4.4284e+18	5.8839e+17	1.7003e+17	9.8733e+16	1.5532e+45	1.9978e+44	
62196	4/23/2019 	15:22:43	60.8		0.10187	-0.96926	0.015163	4.3584e+24	1.1779e+25	5.0001e+18	5.9045e+17	1.4607e+17	9.8782e+16	1.5791e+45	2.0024e+44	
62197	4/23/2019 	15:24:21	61		0.11481	-0.96861	0.016028	7.5989e+24	1.2435e+25	4.2894e+18	6.226e+17	1.935e+17	1.0473e+17	1.6027e+45	2.1141e+44	
62198	4/23/2019 	15:25:59	61.3		0.11581	-0.96983	0.016176	4.0342e+24	1.2564e+25	5.0635e+18	6.3015e+17	1.5234e+17	1.0533e+17	1.6676e+45	2.1396e+44	
